star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
1.440395628755040036e+01 1.298150857479942033e+01 2.503743820892882610e+01 1.056685479678706798e+02 5.379996272784891335e+04 1.438341822275686184e+02 4.528457854082507339e+00 2.228958241922910588e+00
1.387042217829984025e+01 1.366652593273934713e+01 2.504291772440220853e+01 1.056444441116972683e+02 5.379996584011591767e+04 1.455614027002239652e+02 4.537655336790596294e+00 2.225849644381591386e+00
1.352222747712566786e+01 1.364461053791191780e+01 2.515980147095928032e+01 7.484288863232505662e+01 5.379991599525464699e+04 1.489998489211053538e+02 4.511660867388206597e+00 2.235978406593038592e+00
1.330480339465547068e+01 1.421616879633062425e+01 2.509237699980497993e+01 1.062171497319256446e+02 5.379998160157991515e+04 1.386422625037844796e+02 4.539411413953932772e+00 2.231352337357177085e+00
1.320543915805806812e+01 1.433589762882884244e+01 2.507305302316154894e+01 7.403928650432770553e+01 5.380000330591378588e+04 1.480778312334727786e+02 4.542645800528061883e+00 2.224426529207816472e+00
1.517782135525572329e+01 1.180077011479318116e+01 2.487163976707204682e+01 1.056138565394922608e+02 5.380004375842291483e+04 1.424590206668768246e+02 4.508138141560230849e+00 2.241198808619022209e+00
1.317327336309091024e+01 1.430615511083827585e+01 2.511023039192858164e+01 7.477008502130289003e+01 5.379994977977294184e+04 1.450989106670040769e+02 4.538078738793537070e+00 2.223942881428753182e+00
1.417979902365503797e+01 1.341533856829806837e+01 2.484558800577028848e+01 7.378599454755654108e+01 5.380004735663774773e+04 1.488927032641644246e+02 4.540160403286651380e+00 2.227574997264105239e+00
1.430195281668516394e+01 1.309382069748734345e+01 2.496271316490804182e+01 1.057144349527479221e+02 5.380000901227615395e+04 1.439004454531020656e+02 4.529263348941268141e+00 2.226720244974324636e+00
1.282487221054905646e+01 1.422747159779591186e+01 2.522588482000606547e+01 1.050170570841394380e+02 5.379995645811239228e+04 1.443205750039452084e+02 4.511993079396241058e+00 2.231734785323289838e+00
1.357751175081146577e+01 1.418366695844536984e+01 2.500091380629709903e+01 7.394469784744342178e+01 5.380001771577201725e+04 1.505219227032645222e+02 4.554158418332759695e+00 2.221317661600503257e+00
1.374033928647032177e+01 1.360501591900839280e+01 2.503752527145349660e+01 7.453535289470423209e+01 5.379995336719003535e+04 1.429987147308278566e+02 4.520872857862697991e+00 2.238543958056073091e+00
1.317861210223896862e+01 1.396997907491398827e+01 2.504841057795060522e+01 7.453073324105571373e+01 5.379993319869066909e+04 1.459051532739040624e+02 4.516595485704525181e+00 2.232512435633615677e+00
1.395872479034573743e+01 1.297755438008828932e+01 2.498033444869839315e+01 7.469606239515792367e+01 5.380000466387093911e+04 1.437805335302767844e+02 4.497801954517111511e+00 2.242264321575103914e+00
1.417952443218051783e+01 1.323524942471419408e+01 2.501347489565711157e+01 7.471971164563804280e+01 5.379999125975949573e+04 1.451743618823820441e+02 4.528236266607398086e+00 2.227908305285550394e+00
1.386500214103490158e+01 1.385992058824191631e+01 2.509458500838683648e+01 7.460197072371720139e+01 5.379997410080592817e+04 1.430565726881825981e+02 4.549149608745834072e+00 2.219102373804977102e+00
1.317659691164188374e+01 1.448092628075642097e+01 2.512502490148008860e+01 1.056021226752580020e+02 5.379989103045823140e+04 1.436795373882460467e+02 4.551665107339575300e+00 2.212849590323850091e+00
1.445369119040419292e+01 1.241116373745797929e+01 2.494734191917066468e+01 7.478110154068272664e+01 5.380005745263891004e+04 1.493492682440632962e+02 4.495722444864115097e+00 2.238893455322959802e+00
1.408634533986357340e+01 1.324928489567792234e+01 2.505913195395013204e+01 7.446566234634907744e+01 5.379997346648683742e+04 1.512006462135717868e+02 4.528856857064104346e+00 2.228350337347027921e+00
1.354959099891146224e+01 1.370973517304204492e+01 2.520975899708847834e+01 1.053617798653023669e+02 5.379994642810439836e+04 1.488546493135846731e+02 4.529289380692754108e+00 2.226118809043051705e+00
1.426632691604810077e+01 1.384907203790970698e+01 2.528398337635402271e+01 7.482119632756619865e+01 5.379988253884508595e+04 1.456908497761406807e+02 4.577224530227616661e+00 2.207072655038882836e+00
1.320603101414967817e+01 1.459026191146608831e+01 2.524065014040861143e+01 1.047639627548926029e+02 5.379989650591949612e+04 1.413804704665469671e+02 4.555569756025768413e+00 2.210854080694875545e+00
1.375417513200697250e+01 1.300379482205542203e+01 2.500712699630564728e+01 7.466702149795737853e+01 5.379997356833585945e+04 1.448425646825063779e+02 4.482524072926137748e+00 2.255508997580105479e+00
1.320246410825682304e+01 1.454909077646058435e+01 2.503010827196556676e+01 7.348888674686064348e+01 5.379995186752294831e+04 1.451517400084959206e+02 4.559175101900157401e+00 2.216995657502630834e+00
1.454398661689810623e+01 1.302383173770603975e+01 2.518519903471884902e+01 1.049904294706064718e+02 5.379996209264932259e+04 1.498479256120108403e+02 4.541532424463643025e+00 2.223020352372453434e+00
1.281005559170743702e+01 1.442736388676780734e+01 2.510038752043976018e+01 7.511049146267939136e+01 5.379995989473044756e+04 1.418993757809317628e+02 4.523073572463756520e+00 2.226421333934001989e+00
1.502872566944889954e+01 1.276070622731660009e+01 2.507359978108669907e+01 7.411868729035390402e+01 5.379994432989363850e+04 1.472105219025482086e+02 4.558381341373872075e+00 2.215839862147975126e+00
1.457924861774907299e+01 1.261656836615253852e+01 2.487818164640635743e+01 1.057972912933416438e+02 5.380012953874853702e+04 1.498242234896835043e+02 4.520512461125016479e+00 2.232089583887372886e+00
1.345373285700473254e+01 1.383851548443614554e+01 2.501303379388640025e+01 7.493879231345519543e+01 5.379999576494191570e+04 1.458569055042276545e+02 4.520035575897299651e+00 2.235287115035859529e+00
1.406020997559307517e+01 1.308060430573672761e+01 2.510079361811546761e+01 1.053718188452201332e+02 5.379998168201930821e+04 1.457817926082161364e+02 4.513405790598528533e+00 2.236055639346261170e+00
1.452179289219970926e+01 1.303985684591150118e+01 2.493786514432516555e+01 1.061770544142472943e+02 5.380004695969876047e+04 1.466932490424760829e+02 4.543004460078096329e+00 2.225951834125677209e+00
1.386853515477609022e+01 1.348759290338073669e+01 2.519738110991917068e+01 1.053965609117792326e+02 5.379991762823338649e+04 1.443930169779023913e+02 4.528639833622651878e+00 2.229662832191019906e+00
1.332151214598362188e+01 1.414428568346109927e+01 2.508352663521512937e+01 1.052296827139350341e+02 5.379998863974482083e+04 1.433967030028715612e+02 4.532301747999256669e+00 2.226449932127756437e+00
1.426000598132112529e+01 1.294014631362566092e+01 2.507472002881682371e+01 7.476342018103724740e+01 5.379995399156337226e+04 1.456547994016171401e+02 4.517867105930281291e+00 2.235012868603500902e+00
1.452179289219970926e+01 1.303985684591150118e+01 2.493786514432516555e+01 1.061770544142472943e+02 5.380004695969876047e+04 1.466932490424760829e+02 4.543004460078096329e+00 2.225951834125677209e+00
1.332765983476444127e+01 1.423350381268012654e+01 2.526240690958481849e+01 7.458200293097858946e+01 5.379989069361390284e+04 1.474377052270704098e+02 4.546878395112203819e+00 2.212827946026965975e+00
1.503219062669312933e+01 1.280040028856667433e+01 2.493343663571140212e+01 1.059940661400553523e+02 5.380005688490597822e+04 1.490113999198227930e+02 4.559622316015024879e+00 2.214850001207504526e+00
1.460511023036501754e+01 1.342757250650038081e+01 2.503151006337234108e+01 7.359685741347786347e+01 5.379998842953619896e+04 1.440804629819826914e+02 4.572595011188326453e+00 2.214312227632284635e+00
1.452594319832666692e+01 1.284153231987249377e+01 2.501281608147641933e+01 1.057049954909114291e+02 5.379999664188835595e+04 1.506625054270195392e+02 4.531726928080602512e+00 2.228008816353483024e+00
1.433938802576903626e+01 1.224694240974011805e+01 2.510869636689081119e+01 7.529231367881311598e+01 5.379995679087863391e+04 1.459272638679527745e+02 4.477514153084394266e+00 2.254228310353516562e+00
1.384848873695447224e+01 1.392017901447191619e+01 2.512072924922780359e+01 1.066099730327728139e+02 5.379991349149218877e+04 1.468689795977992958e+02 4.559317821958852157e+00 2.217303281020921002e+00
1.409883455131000929e+01 1.308955592184334904e+01 2.484558885563462027e+01 7.415858722672066961e+01 5.380007498468545236e+04 1.481247391056528215e+02 4.513832756269017032e+00 2.239598395264022379e+00
1.387042217829984025e+01 1.366652593273934713e+01 2.504291772440220853e+01 1.056444441116972683e+02 5.379996584011591767e+04 1.455614027002239652e+02 4.537655336790596294e+00 2.225849644381591386e+00
1.310365484980913919e+01 1.432013847630302905e+01 2.522445482481939294e+01 7.489332625891377404e+01 5.379986593639079365e+04 1.490307587600943293e+02 4.528716372292935333e+00 2.232161749544232965e+00
1.357606485884994996e+01 1.377182428808794157e+01 2.529498048218314921e+01 1.054711081476198160e+02 5.379985263903505984e+04 1.364420718163163144e+02 4.528510982597953038e+00 2.229785661861451995e+00
1.412311362120333058e+01 1.352514385791453044e+01 2.492667601826171975e+01 1.060668503544883237e+02 5.380001367604295956e+04 1.494897861308794802e+02 4.548750004647679646e+00 2.221101917287718663e+00
1.449139491925859957e+01 1.239129978132047327e+01 2.483573404433740706e+01 7.434847178959415714e+01 5.380005301258441614e+04 1.501464978902637313e+02 4.499530531476305661e+00 2.238201036073391936e+00
1.354323337130333726e+01 1.349768342146252564e+01 2.508063912142988272e+01 1.051727912987749249e+02 5.379998091670779831e+04 1.508922639785506021e+02 4.505756929440161151e+00 2.241423895817432843e+00
1.355439987435541127e+01 1.315003990152048274e+01 2.506880635728384732e+01 1.050801567576933309e+02 5.379997132042080193e+04 1.427567135437690808e+02 4.480790965400198722e+00 2.252731419479548247e+00
1.479509197754833139e+01 1.329228477402378061e+01 2.496777433775822530e+01 1.061902132045988481e+02 5.380006905111350352e+04 1.502480281485285900e+02 4.580790143267676306e+00 2.201023415882949585e+00
1.459343090678136790e+01 1.426511629734214814e+01 2.512428067457283021e+01 1.066343068856151746e+02 5.379997722896133928e+04 1.467280471180864083e+02 4.624396052912914001e+00 2.186914312710012354e+00
1.429755803611487330e+01 1.364394635235004216e+01 2.504481234621804475e+01 1.061780947280642238e+02 5.379997425766468223e+04 1.514691333633500676e+02 4.569208058237004266e+00 2.207266213916058373e+00
1.401220755168571053e+01 1.392082188655630759e+01 2.521724199395245236e+01 7.439136964932158946e+01 5.379990542289043515e+04 1.434073763187794270e+02 4.566970184673591504e+00 2.210195529963953742e+00
1.364754383733851917e+01 1.323357254216359813e+01 2.489452249487235846e+01 1.058916329476417246e+02 5.380005561076608137e+04 1.501496295056438441e+02 4.492823307953958789e+00 2.247901069014225595e+00
1.395872479034573743e+01 1.297755438008828932e+01 2.498033444869839315e+01 7.469606239515792367e+01 5.380000466387093911e+04 1.437805335302767844e+02 4.497801954517111511e+00 2.242264321575103914e+00
1.390447205105447459e+01 1.449481226550226509e+01 2.530822370150467648e+01 7.402445108653644468e+01 5.379983320433068729e+04 1.408996590589335938e+02 4.597994579730363185e+00 2.198233416478691193e+00
1.458141630611047646e+01 1.252187673290621461e+01 2.478620673580843103e+01 7.394907093194525771e+01 5.380010311082684348e+04 1.479414418774739772e+02 4.511487501539683365e+00 2.239039399556729482e+00
1.451149889423468053e+01 1.250062846801386129e+01 2.491272770315389806e+01 1.053241527267857123e+02 5.380007097915453051e+04 1.512525584832457071e+02 4.511110232966091260e+00 2.229659499993840832e+00
1.386500214103490158e+01 1.385992058824191631e+01 2.509458500838683648e+01 7.460197072371720139e+01 5.379997410080592817e+04 1.430565726881825981e+02 4.549149608745834072e+00 2.219102373804977102e+00
1.412966095345456630e+01 1.396671823482887831e+01 2.516475084492867609e+01 1.056355645458829713e+02 5.379988577755993902e+04 1.436114041185875294e+02 4.577970252134739404e+00 2.207115259279796682e+00
1.409828325065251242e+01 1.363290438408601091e+01 2.502197861867961493e+01 7.415480059354236175e+01 5.379998974569472193e+04 1.406161015748916725e+02 4.555629539557778607e+00 2.213033788268286450e+00
1.407112819759597855e+01 1.422032755372403656e+01 2.525904982696531675e+01 1.056807566205176983e+02 5.379991870225538150e+04 1.423780414698558161e+02 4.597623890250986278e+00 2.193410905792559262e+00
1.445638046471131943e+01 1.270661158705457794e+01 2.518317845032705193e+01 7.558836410536221706e+01 5.379995424258134153e+04 1.455406234176745670e+02 4.506703675476686044e+00 2.241771536948601984e+00
1.366137486892792552e+01 1.347328425696062482e+01 2.495254110420738058e+01 7.465481686336104872e+01 5.379997452906592662e+04 1.444938717670544008e+02 4.507873355650502845e+00 2.241117218810263267e+00
1.408782581006353141e+01 1.335954909679239577e+01 2.505398264535574526e+01 7.434414950860215754e+01 5.380000882164587529e+04 1.451966157449948014e+02 4.531629825319781979e+00 2.229074340066888649e+00
1.317741163892208434e+01 1.445295234531152317e+01 2.510443786650503029e+01 7.453673334003532602e+01 5.379996381857478264e+04 1.449966404902800718e+02 4.545787378575187887e+00 2.219346366944403126e+00
1.421932165270406756e+01 1.342688830504068065e+01 2.514167839922177805e+01 1.059319411169660299e+02 5.379990711390731303e+04 1.445758800125363450e+02 4.548597744739192095e+00 2.218798467900909621e+00
1.441099063845022954e+01 1.238198921295923327e+01 2.476948458873895476e+01 1.052519497467170879e+02 5.380011450049256382e+04 1.419152158965058277e+02 4.483476957615772918e+00 2.253193459487651484e+00
1.461627586112715704e+01 1.255322237076596181e+01 2.496980352723563001e+01 1.056853530205801519e+02 5.380004752858560096e+04 1.447575004747222636e+02 4.515777905913330947e+00 2.238189395174203788e+00
1.405273898143643052e+01 1.264657328673420622e+01 2.491398521347998596e+01 1.050223568610648925e+02 5.380000705432893301e+04 1.465739689503326417e+02 4.479796689295471701e+00 2.250203966985116377e+00
